whiskey,Match_1,Reco_1,Match_2,Reco_2,Match_3,Reco_3,Match_4,Reco_4,Match_5,Reco_5,Match_6,Reco_6,Match_7,Reco_7,Match_8,Reco_8,Match_9,Reco_9,Match_10,Reco_10,Match_11,Reco_11,Match_12,Reco_12,Match_13,Reco_13,Match_14,Reco_14,Match_15,Reco_15,Match_16,Reco_16,Match_17,Reco_17,Match_18,Reco_18,Match_19,Reco_19,Match_20,Reco_20
Highland Park 12,0.9414421345952181,Springbank 10,0.9406005975066735,Highland Park 18,0.9286064320936789,Johnnie Walker Green Label,0.9227757669805269,Jura Superstition,0.9180897135143562,Johnnie Walker Black Label,0.9180160640396118,Oban 14,0.9173479759829133,Bruichladdich The Laddie Ten,0.9170920824471432,Caol Ila 12,0.9163731594376998,Lagavulin 16,0.9146623203736599,Bowmore 12,0.9125166170471459,Bunnahabhain 12,0.910824582267009,Lagavulin 12,0.9070888809608466,Benromach 10,0.8990940471053166,Ardbeg Uigeadail,0.8959472959100291,Laphroaig 18,0.8958056368994893,Kilchoman Machir Bay,0.8885536264328744,Laphroaig Quarter Cask,0.8867475138981987,Ardbeg 10,0.8833600671179346,Compass Box Peat Monster,0.8817700388301055,Talisker 10
Lagavulin 16,0.971340933070462,Ardbeg Uigeadail,0.9679564072711764,Laphroaig 10,0.9631454300441483,Laphroaig Quarter Cask,0.9604570161621199,Laphroaig 18,0.9564104853696284,Lagavulin 12,0.9558625886483622,Ardbeg 10,0.9510661274407841,Caol Ila 12,0.9448373540314163,Finlaggan Old Reserve,0.9440890463960524,Bowmore 12,0.9347214485444585,Laphroaig 10 Cask Strength,0.9339173476080528,Ardbeg Ardbog,0.9243670083712383,Ardbeg Corryvreckan,0.9233648553625946,Kilchoman Machir Bay,0.9216529080074527,Talisker 10,0.9211590429384882,Laphroaig Triplewood,0.9183654547222565,Highland Park 12,0.9132118664895545,Bruichladdich Port Charlotte Scottish Barley,0.9099054873467222,Bruichladdich Octomore 6.1,0.9096329464108226,Lagavulin 8,0.9061884760879634,Ardbeg Galileo
Ardbeg 10,0.9738498566783259,Caol Ila 12,0.9573648879546716,Lagavulin 16,0.9543412588148136,Kilchoman Machir Bay,0.9531425983176729,Laphroaig 10,0.9485602495548465,Laphroaig 18,0.9446251061539627,Ardbeg Corryvreckan,0.9441992872067995,Laphroaig Quarter Cask,0.9384814198013951,Laphroaig 10 Cask Strength,0.9362781563340962,Bowmore 12,0.9333888543622928,Ardbeg Uigeadail,0.9321675982911031,Lagavulin 12,0.9299540579273002,Ledaig 10,0.928497067905853,Longrow Peated,0.9274731458409065,Bruichladdich Port Charlotte Scottish Barley,0.9250230202645352,Compass Box Peat Monster,0.9194238246986168,Bruichladdich Port Charlotte 10,0.9170349740688016,Talisker 10,0.9141363839695197,Finlaggan Old Reserve,0.909806415830893,Bruichladdich Octomore 6.1,0.902773457941695,Lagavulin 8
Ardbeg Uigeadail,0.9770632103592323,Lagavulin 16,0.941309425295751,Laphroaig Quarter Cask,0.9376183783267728,Ardbeg 10,0.9363082024669748,Laphroaig 10,0.931461346105918,Lagavulin 12,0.930343504417165,Ardbeg Ardbog,0.9297658135433801,Ardbeg Corryvreckan,0.9284818899422698,Laphroaig 18,0.9203575621032588,Laphroaig 10 Cask Strength,0.9201156563920064,Laphroaig Triplewood,0.917314557981342,Caol Ila 12,0.9107645372512765,Finlaggan Old Reserve,0.9071528886501836,Bowmore 12,0.9042898100727166,Highland Park 12,0.9037495736306415,Bowmore 15 Darkest,0.9032297565049758,Ardbeg Day,0.9022399662396446,Kilchoman Machir Bay,0.9020964473275617,Laphroaig Cairdeas 2013 Portwood,0.9018696647489745,Highland Park 18,0.8994738088303443,Bruichladdich Port Charlotte Scottish Barley
Laphroaig Quarter Cask,0.9697837896321385,Laphroaig 10,0.9624277955404911,Lagavulin 16,0.961942649218597,Laphroaig 18,0.9449710184245262,Lagavulin 12,0.9423572173855568,Ardbeg 10,0.9397618476167509,Laphroaig 10 Cask Strength,0.935110821817959,Ardbeg Uigeadail,0.9326132809729044,Ardbeg Corryvreckan,0.9284365109493152,Kilchoman Machir Bay,0.9202792419159299,Bowmore 12,0.911822080587233,Finlaggan Old Reserve,0.9080643216905253,Caol Ila 12,0.9073946231150687,Compass Box Peat Monster,0.9038669751079043,Laphroaig Triplewood,0.9001765612376014,Laphroaig Cairdeas 2012 Origin,0.8995441631741571,Bruichladdich Port Charlotte Scottish Barley,0.8957019888849647,Talisker 10,0.8901072971626158,Bruichladdich Port Charlotte 10,0.888740360039488,Highland Park 12,0.8875706452130784,Ardbeg Galileo
Laphroaig 10,0.9666135952286423,Laphroaig Quarter Cask,0.9639159360115479,Lagavulin 16,0.9504657930393772,Laphroaig 10 Cask Strength,0.9501109390463317,Laphroaig 18,0.9484337084366884,Ardbeg 10,0.9306146621499232,Finlaggan Old Reserve,0.9301878552649661,Kilchoman Machir Bay,0.928789851928871,Caol Ila 12,0.9283445217065642,Ardbeg Uigeadail,0.9263346280646596,Lagavulin 12,0.9206616050223463,Bowmore 12,0.9059743552485942,Ardbeg Ardbog,0.9054587136479118,Ardbeg Corryvreckan,0.9052199737564384,Talisker 10,0.891369883747243,Ledaig 10,0.8886164417426651,Laphroaig Triplewood,0.8748535988857737,Bruichladdich Port Charlotte Scottish Barley,0.8731346694213267,Bruichladdich Octomore 6.1,0.8717559826440788,Longrow Peated,0.8709710085799747,Laphroaig Cairdeas 2013 Portwood
Talisker 10,0.9520286156192953,Talisker 57° North,0.9324402123653965,Caol Ila 12,0.9225070456853313,Lagavulin 16,0.9186014175756576,Talisker 18,0.9161439250323002,Ardbeg 10,0.9157488507615388,Ledaig 10,0.9113390357351269,Laphroaig 18,0.9099099742490693,Laphroaig 10,0.9064968640774004,Talisker Storm,0.9011859812355456,Ardbeg Corryvreckan,0.9002606059622548,Bowmore 12,0.8972205636285177,Laphroaig Quarter Cask,0.8914803743898929,Kilchoman Machir Bay,0.887558950280479,Springbank 10,0.8853612523036457,Laphroaig 10 Cask Strength,0.8850927901910363,Compass Box Peat Monster,0.8835561007068986,Lagavulin 12,0.8832454242616983,Highland Park 12,0.8830462710587553,Talisker 25,0.8780351143997753,Ardbeg Uigeadail
Glenlivet 12,0.9522874469830621,Glenfiddich 12,0.9281534327533186,Glenmorangie 10 Original,0.9162800673129693,Glenlivet 16 Nadurra,0.9028568751717077,Glenkinchie 12,0.9022983600241081,Chivas Regal 12,0.8796542516018782,Dalwhinnie 15,0.8780838239929198,Speyburn 10,0.8771751621404641,Balvenie 15 Single Barrel,0.8765603105486229,AnCnoc 12,0.8735818354418515,Monkey Shoulder,0.8724159954037858,Cardhu 12,0.8722914831317745,Arran 10,0.8669744671218967,Compass Box Great King St. Artist's Blend,0.8655669083607156,Macallan 10 Fine Oak,0.8642105595655345,Cragganmore 12,0.8604656317842592,Glenlivet 15 French Oak Reserve,0.850296450839483,Singleton of Glendullan 12,0.8499586658108195,BenRiach 12,0.8444953686603245,Glenlivet 18,0.8432370835347363,Aberfeldy 12
Glenfiddich 12,0.9536171753465471,Glenlivet 12,0.9015167843778948,Glenlivet 16 Nadurra,0.881332945695159,Chivas Regal 12,0.8794292145146225,Monkey Shoulder,0.874235065646647,BenRiach 12,0.8658242569650241,AnCnoc 12,0.8654977437525031,Glenfiddich 18,0.8623138135524417,Glenfiddich 15,0.8584182372343583,Glenmorangie 10 Original,0.8562906460144156,Glenlivet 15 French Oak Reserve,0.855977724586634,Cardhu 12,0.8511536644137992,Glenkinchie 12,0.8473393407661894,Arran 10,0.8467362423220612,Tomatin 12,0.8456750087069366,Macallan 10 Fine Oak,0.8400857229576931,Glenlivet 18,0.8391255552313557,Speyburn 10,0.8378816366595133,Cragganmore 12,0.8353887575515394,Singleton of Glendullan 12,0.8346796279409898,Dalwhinnie 15
Balvenie 12 Doublewood,0.9226695373883261,Glenfarclas 12,0.9221316250585468,Glenfiddich 15,0.9184596601115506,Aberlour 10,0.9074461646632719,Macallan 15 Fine Oak,0.90045051623745,Aberlour 12 Double Cask Matured,0.8970338686930164,Macallan 12 Sherry,0.8938819312216012,Aberlour 16,0.8889312119180695,GlenDronach 12 Original,0.88808761996326,Macallan 18 Sherry,0.885347939834791,Glenfiddich 18,0.8827536507570983,Balvenie 17 Doublewood,0.8791451734333193,Glenlivet 18,0.875125936941304,Macallan 10 Fine Oak,0.8702080999169202,Glenmorangie 18,0.8634457417512228,Glenlivet 16 Nadurra,0.8565006822284054,Glenfarclas 17,0.8553456033536102,Glenfarclas 15,0.8543276714055001,Balvenie Tun 1401 Batch #3,0.8542006320870986,Glenmorangie Lasanta,0.8513093089555406,Tomatin 12
