index,0
caramel,12051
suspect,162
artificially,58
colour,471
nose,23919
tiger,11
balm,24
hand,549
may,1318
way,4016
alcohol,3801
little,9473
bit,15811
leather,3772
hint,7110
sweetness,7004
palate,13933
bland,172
taste,22213
almost,3668
nothing,1721
really,11500
woody,1585
flavour,3942
promise,220
go,6420
finish,35567
short,2918
devoid,19
remind,1952
red,4334
cheap,691
rye,6438
dad,94
drank,582
kid,184
buy,3487
primarily,197
novelty,44
think,6027
waste,58
seek,165
deep,1593
amber,2953
neat,2360
start,3111
sweet,21280
brown,4346
sugar,6725
note,22580
compliment,166
dark,6825
cherry,6015
balance,4229
bake,1200
spice,14280
similar,1556
though,4817
muted,152
easily,439
fill,641
pie,988
dessert,512
excellent,1163
especially,1099
give,4193
middle,422
proof,3558
shorter,48
hotter,88
like,17901
baking,591
mingles,21
medium,6420
length,2287
heat,2759
rock,507
leave,2240
intoxicate,12
combination,490
come,6195
forefront,142
take,3477
back,3677
seat,79
even,3352
well,9169
oddly,290
ice,1206
actually,1823
make,5583
feel,3896
thinner,142
remain,592
duration,132
conclusion,3231
first,4784
whiskey,2607
expect,2911
high,2652
end,3880
expression,672
small,878
batch,823
point,1725
enjoy,3005
fruity,4583
one,9072
surprisingly,1072
full,2252
http,1868
despite,604
low,1322
hot,3286
sort,875
keep,1738
territory,142
barely,276
favorite,1621
far,1401
bottle,7467
happy,604
also,3823
read,845
https,176
review,2672
keen,21
eyed,3
reader,18
notice,474
post,163
yesterday,51
today,164
apparently,117
terrible,300
count,58
scale,378
mostly,1154
occasionally,123
price,3328
consideration,118
generally,320
drop,1320
whisky,8776
range,610
seem,3039
significantly,196
expensive,396
quality,1711
unicorn,40
find,3669
yet,1531
always,850
shelf,544
solid,1311
happily,177
order,464
bar,775
decent,1288
prefer,919
avoid,181
fine,910
mixer,265
pinch,189
somewhere,361
poor,487
selection,192
drink,3817
offer,470
pay,1527
maybe,3685
want,2351
thanks,678
rather,2099
light,12379
golden,1171
scotch,2983
fair,373
acetone,599
wood,6808
profile,2038
dry,9775
herb,558
cigar,491
leaf,380
wrapper,24
later,395
vanilla,18930
arrive,154
party,144
gentle,1089
lot,8205
herbal,2137
flavor,6572
follow,1592
blend,1793
body,2838
thin,2066
warm,3016
nice,8940
dried,821
tobacco,2547
last,1663
saw,165
get,10168
butterscotch,1630
fact,533
quite,7953
predominantly,74
pretty,3704
fairly,1618
simple,1279
pleasant,2154
long,7363
easy,1203
drinking,409
tasty,1417
bourbon,6087
remarkable,110
ok,488
tell,779
web,9
right,2398
gold,2189
rich,5631
oak,19927
delicious,1381
forward,1171
support,164
pepper,9747
shorten,19
generic,178
big,3486
fan,1024
definitely,3107
good,12434
guess,2125
need,1638
time,6654
surprise,972
still,5763
hunt,119
hostess,5
fruit,14047
honey,11477
bitter,4875
chocolate,7774
tapioca,24
tart,1359
char,2122
allspice,705
thing,3788
mind,854
eagle,131
rare,460
product,640
many,1404
clamor,3
dawn,8
super,740
dig,244
thankfully,145
job,167
bring,1765
complex,3514
unique,1192
hold,1065
prevent,29
approachable,132
flavorful,234
water,8250
likely,534
future,308
overall,5102
b,459
score,7375
base,694
include,348
hate,259
design,71
bore,176
look,1970
shape,51
numerous,15
slight,3841
additional,179
curving,1
across,558
top,705
logo,9
clear,521
statement,291
describe,509
hefty,53
topper,6
overly,753
shiny,25
someone,777
try,4282
appear,458
wealthy,2
packaging,73
strong,4235
upfront,184
hit,1602
touch,2824
nutty,1777
tough,126
pull,387
beneath,129
oily,2687
much,7589
sweeter,915
peanut,1264
payday,6
fuck,299
kick,785
mule,8
quickly,1309
spicy,4942
kill,158
move,538
astringent,695
apart,250
bad,3659
mean,878
man,285
borderline,128
undrinkable,206
week,269
extremely,644
intense,1055
mellow,1078
hair,133
basic,168
overwhelmingly,45
dominate,853
extreme,49
tl,79
copper,809
heavy,2131
ethanol,885
candy,2653
corn,2609
banana,3006
cream,2702
cinnamon,8177
cloves,232
cotton,208
cola,838
moderate,265
warmth,1018
malt,8190
bread,1718
thought,1333
brings,141
compare,1105
standard,1148
offering,450
sipping,52
degrade,5
unbalanced,165
unpleasant,537
wear,106
increased,8
forgive,22
beam,453
smell,3312
booker,190
sawdust,373
dusty,536
yea,13
probably,2106
walnut,736
fresh,3911
air,827
less,2593
subdue,366
candied,342
pretentiousness,1
jury,6
ab,9
totally,207
different,2062
raspberry,1229
cover,546
jells,1
kind,1890
coat,774
dust,267
instead,553
menthol,617
throughout,833
astringency,430
straight,431
energy,15
decipher,13
category,152
tonight,91
swallow,331
sum,122
around,2385
na,321
claim,67
barrel,2729
proofer,59
whatever,207
fool,50
oh,547
see,2244
number,195
orange,7000
peel,1827
ripe,687
white,3171
peach,2271
cane,150
mild,2433
saccharine,37
artificial,459
grape,2502
juice,1855
rating,2401
pine,990
deal,281
present,1162
emerge,400
open,1767
foster,64
lingers,993
