whiskey,Body,Sweetness,Honey/Vanilla,Floral/Herbal,Fruity,Winey/Sherry,Peaty/Smoky,Medicinal/Salty,Tobacco/Leather,Nutty/Creamy,Malty,Spicy,Wood/Cask
1792 Full Proof,8.899804188377418,6.1793932563163345,4.981808815480214,4.009261344819382,1.4749630739145814,1.4832808885305777,2.9411764705882346,2.7711139169472503,8.240438074483837,6.622023809523806,4.9391932740028395,7.301587301587299,7.02431183443842
1792 Port Finish,5.752335519777381,8.41025641025641,7.486489594112915,6.153846153846155,4.987938129700583,8.90491452991453,4.62968780567793,6.498316498316498,1.8934911242603554,2.2728048988753087,2.265848670756647,3.0265692271161315,3.500791849291879
1792 Ridgemont Reserve,6.408268733850128,3.0527497194163864,8.292614196748108,3.168890521075611,3.1184309838482043,0.0,5.002163337237894,2.77111391694725,8.452490710474116,2.239137329527434,6.851851851851851,8.055555555555555,6.2943262411347565
1792 Small Batch,4.609053497942387,3.566197563362694,9.018727412112584,3.1688905210756113,1.9600990243192085,0.0,1.428571428571428,7.037037037037037,1.272554605887939,0.5022321428571428,5.2910146639110325,8.88888888888889,8.962696987831638
1792 Sweet Wheat,2.3333333333333335,9.047619047619047,8.951264921695323,0.3851851851851852,3.261252771919627,4.444444444444445,2.65359477124183,5.506729483834962,1.5954415954415957,7.715584734091722,4.675327231571697,3.893278837420527,5.01985464898479
Aberfeldy 12,2.246376811594203,3.566197563362696,6.038647342995169,7.442224833529181,5.578409791045517,5.008051529790659,6.445131687991431,5.120366655437224,4.8906562880344575,3.671497584541062,5.557856230803741,4.037337598230857,0.9795314882410013
Aberfeldy 21,2.708333333333333,4.617545767627335,6.48148148148148,8.364922400769126,8.238942129536351,3.67476851851852,5.681078568107857,7.5555555555555545,7.685185185185183,7.147735204784272,1.733451536643026,3.068102609668104,7.777777777777777
Aberlour 10,3.547008547008547,5.891468163657514,3.3565580500621683,3.3568769552359807,6.147546820479956,8.632478632478632,2.9411764705882346,1.2283533304910983,3.042735042735043,2.2728048988753087,2.48670756646217,4.068504157060016,3.9469313283754714
Aberlour 12 Double Cask Matured,3.198198198198198,3.333333333333333,3.281751643054705,2.6367094233418142,7.627029545483164,8.244398244398244,2.5914149443561207,2.6068871902205237,1.6216216216216224,1.0587596525096525,0.48048048048048053,4.391400937722466,6.306306306306313
Aberlour 12 Non Chill Filtered,7.878806845725716,6.992086305404735,1.7257671471426714,3.2984346040766006,8.78153721884919,8.740440845704004,0.9746588693957113,4.092264347064939,3.742690058479532,6.419956140350875,2.905177053062104,6.049798115746972,4.596932880639449
Aberlour 16,5.432098765432098,3.5661975633626977,2.9516288252714693,4.341849464999157,6.4506871751050365,8.893518518518519,3.2287581699346397,3.5957929864872265,1.5954415954415957,4.082304526748972,0.748148148148148,3.893278837420527,7.7074542897327705
Aberlour 18,6.408268733850129,1.1111111111111112,3.8616956389143025,2.3997225282572323,8.13155351810985,8.247863247863247,0.4629629629629629,2.7711139169472503,4.677691544502861,7.451940309770406,0.8194444444444443,0.7462173314993124,2.0924454208841006
Aberlour A'bunadh batch #39,7.973038358400374,6.992086305404735,7.354260089686099,5.555555555555555,9.332897318508829,9.51388888888889,0.4629629629629629,4.3461417473603605,0.0,7.75614541475654,5.137092805826198,0.31292984869325996,6.072695035460997
Aberlour A'bunadh batch #42,7.973038358400374,9.087301587301587,5.053527157989633,5.555555555555555,4.509010926635449,9.166666666666666,4.517945146209939,6.228956228956228,8.926789319315887,10.0,1.1111111111111112,5.734353970390309,2.750093826233815
Aberlour A'bunadh batch #45,9.059108559291095,5.347108936015951,4.886184358800991,6.419753086419754,7.415856998374981,9.344135802469136,1.9576719576719572,4.167487280485805,4.197530864197531,8.929894608107622,1.9408983451536637,8.055555555555555,4.170001067917266
Aberlour A'bunadh batch #46,8.689197854727762,0.9876543209876543,1.0714285714285716,2.861223323948259,7.611191604450049,9.444444444444445,0.4629629629629629,2.7711139169472503,4.677691544502861,9.119456134671415,0.13888888888888892,8.913857677902621,7.250351617440227
Aberlour A'bunadh batch #47,9.003352029471309,0.8148148148148148,6.049382716049384,2.6766230056718494,9.36069326357096,9.449074074074074,3.2287581699346406,1.1111111111111116,1.5954415954415955,9.145138664076832,2.106855791962176,6.8888888888888875,6.722925457102678
Alberta Premium Dark Horse,6.092449038185473,8.977072310405642,8.934399299091009,5.555555555555555,4.305244045711846,7.731404192172137,5.002163337237894,1.6191607284243859,2.07977207977208,1.0044642857142858,8.912280701754385,7.22222222222222,7.191748710736055
Amrut Cask Strength,7.439556084026952,7.242079046614338,3.470570295821897,2.945132559528446,1.8057375855540996,1.800360186947234,5.840835129538059,5.045101169385716,0.0,8.703854110045675,9.098564593301436,4.025059862934524,3.906373193913325
Amrut Fusion,4.609053497942388,4.20441804566539,4.811809781383815,4.472440222130433,7.647364679649136,6.476129308499251,7.780709234978502,3.929281324653063,6.310627050093947,6.152777777777776,7.898550724637681,7.530864197530863,5.019854648984791
Amrut Intermediate Sherry,9.084452436481907,6.74209356419513,7.197988857181681,2.945132559528447,9.27983233248112,8.445998445998447,6.000591690968261,5.59228650137741,7.777777777777777,8.703854110045675,8.548528765920071,9.179434797412325,8.392596485082034
Amrut Kadhambam,6.898533491874752,8.474074074074073,3.2569924317209606,2.185185185185185,5.48857669930467,8.222222222222221,5.563923756392376,3.176206509539843,3.5061728395061733,7.39109928877318,2.854805725971371,8.88888888888889,7.566807313642756
Amrut Peated Cask Strength,2.9761904761904763,4.751547165902794,3.3764649501154542,4.511122912609901,5.327292262158165,1.4832808885305777,7.969160055025101,6.9523809523809526,2.7936507936507935,7.669229670474787,4.543394210356125,1.98932627490222,2.9470820041283536
Amrut Portonova,8.939630281105837,0.8289241622574954,1.6846071447298434,4.511122912609901,9.185975894608987,8.978174603174603,2.3249299719887953,4.962667541805493,3.7037037037037033,7.893458743240584,4.9391932740028395,4.554865179798718,1.855132152958702
Amrut Spectrum 004,3.950617283950617,6.040762656147272,0.7936507936507936,2.3484446620693404,9.385400770292856,5.619781631342326,6.917787049915005,6.6180321735877286,10.0,9.272328333513183,5.2910146639110325,9.155222638368706,3.2097329079877412
AnCnoc 12,0.716134598792062,3.5661975633626946,3.92128537262644,8.057525354383074,7.333610848448635,4.49317738791423,4.136754195776118,2.7711139169472503,1.1875843454790822,2.2621730348707163,7.046783625730994,2.6418389466347,0.9172772526427653
AnCnoc 16,2.1937321937321936,4.834009564841537,3.4959063504351704,7.581427581427581,8.70153922491204,4.72934472934473,1.1843711843711842,5.95959595959596,0.0,5.136752136752138,5.639087764566593,6.256858888083653,4.77260807672136
