whiskey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19
1792 Full Proof,oak,spicy,caramel,vanilla,full,banana,orange,cinnamon,nutty,sugar,dry,corn,pepper,coffee,leather,candy,rich,peach,tobacco,chocolate,1.7142857142857142,1.7142857142857142,1.4285714285714286,0.7857142857142857,0.5,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
1792 Port Finish,port,oak,fruit,caramel,spicy,bitter,vanilla,syrup,grape,char,floral,candy,dry,cherry,winey,banana,maple,raspberry,sugar,cinnamon,1.3076923076923077,1.0769230769230769,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.4615384615384616,0.4615384615384616,0.4615384615384616,0.4615384615384616,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.3076923076923077
1792 Ridgemont Reserve,spicy,oak,caramel,vanilla,fruit,honey,wood,butter,cinnamon,pepper,sugar,tobacco,bitter,orange,cherry,dry,peach,mint,licorice,ginger,1.3333333333333333,1.3333333333333333,1.25,1.0,0.6666666666666666,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25
1792 Small Batch,spicy,oak,caramel,wood,vanilla,cinnamon,bitter,dry,banana,fruit,syrup,custard,clove,herbal,orange,cherry,sugar,honey,apple,milk,2.2222222222222223,1.4444444444444444,1.2222222222222223,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222
1792 Sweet Wheat,vanilla,oak,fruit,caramel,banana,bitter,pepper,sugar,cinnamon,wheat,spicy,candy,cream,char,oily,cherry,chocolate,ginger,toast,pudding,1.8,1.4,1.0666666666666669,0.8666666666666667,0.6,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2
Aberfeldy 12,honey,fruit,vanilla,malt,apple,dry,spicy,pepper,smoky,lemon,toffee,grassy,peaty,caramel,oak,salty,cream,orange,cinnamon,butter,0.9130434782608696,0.7826086956521741,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.5652173913043478,0.5652173913043478,0.5217391304347826,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.39130434782608703,0.39130434782608703,0.39130434782608703,0.39130434782608703,0.3478260869565217,0.3478260869565217,0.3478260869565217,0.3043478260869565
Aberfeldy 21,oak,orange,honey,bitter,fruit,spicy,caramel,apple,heather,chocolate,tobacco,vanilla,sugar,dry,pepper,pear,smoky,cream,toffee,floral,1.75,1.5,1.125,1.0,0.875,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Aberlour 10,sherry,fruit,spicy,honey,raisin,vanilla,apple,malt,wood,oak,toffee,cask,winey,dry,rich,chocolate,cinnamon,orange,smoky,caramel,1.5769230769230769,1.1538461538461535,1.0384615384615383,0.9615384615384616,0.6538461538461539,0.5769230769230769,0.5384615384615384,0.4615384615384616,0.4615384615384616,0.38461538461538464,0.38461538461538464,0.3461538461538461,0.3461538461538461,0.3461538461538461,0.3076923076923077,0.3076923076923077,0.2692307692307692,0.2307692307692308,0.2307692307692308,0.2307692307692308
Aberlour 12 Double Cask Matured,fruit,sherry,spicy,apple,oak,cask,vanilla,pepper,honey,dry,caramel,raisin,toffee,cinnamon,cherry,chocolate,orange,bitter,citrus,sugar,1.648648648648649,1.5405405405405406,1.027027027027027,1.0,0.9189189189189191,0.7027027027027027,0.5945945945945946,0.5135135135135135,0.5135135135135135,0.4864864864864865,0.3783783783783784,0.32432432432432434,0.32432432432432434,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2432432432432433,0.2432432432432433,0.21621621621621626,0.21621621621621626
Aberlour 12 Non Chill Filtered,sherry,spicy,fruit,oak,malt,strawberry,cherry,chocolate,cream,raisin,cask,apple,vanilla,orange,pepper,caramel,cinnamon,bitter,dry,plum,1.6578947368421053,1.2105263157894737,1.1842105263157894,0.6578947368421053,0.5526315789473685,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.34210526315789475,0.3157894736842105,0.3157894736842105,0.3157894736842105
