whiskey,Component_1,Component_2,Component_3,type
1792 Full Proof,0.6838850816438008,0.464907400423939,0.44089492746693615,Bourbon
1792 Port Finish,0.5910235541932178,0.39441225695631876,0.4292899504669651,Bourbon
1792 Ridgemont Reserve,0.6793939986728716,0.4960254497410527,0.3984448799686593,Bourbon
1792 Small Batch,0.7068003252952606,0.4583419025540374,0.4228524110433376,Bourbon
1792 Sweet Wheat,0.609263893798307,0.37932286175601887,0.27683086040278004,Bourbon
Aberfeldy 12,0.4179075110999453,0.33986092396130413,0.22905256480434305,Scotch (Highlands)
Aberfeldy 21,0.5396701755854068,0.29791031166702436,0.2685242967313349,Scotch (Highlands)
Aberlour 10,0.4881658020201765,0.17596790625334544,0.42840117397454375,Scotch (Speyside)
Aberlour 12 Double Cask Matured,0.5172688482447688,0.16334268366484164,0.4528337883306049,Scotch (Speyside)
Aberlour 12 Non Chill Filtered,0.5312232738849825,0.1706797849341964,0.5932087532776518,Scotch (Speyside)
Aberlour 16,0.5224087285624235,0.17204736637742812,0.46335123404592593,Scotch (Speyside)
Aberlour 18,0.5219787598679937,0.1508790001712133,0.4751431275154522,Scotch (Speyside)
Aberlour A'bunadh batch #39,0.5378250000448789,0.03237561223692187,0.5466757793601281,Scotch (Speyside)
Aberlour A'bunadh batch #42,0.5419306621703596,0.12200986428901217,0.7750329774497509,Scotch (Speyside)
Aberlour A'bunadh batch #45,0.5867221692220287,0.11605906067550287,0.7740649934008463,Scotch (Speyside)
Aberlour A'bunadh batch #46,0.5904717008220388,0.02385880753340852,0.9079067486627082,Scotch (Speyside)
Aberlour A'bunadh batch #47,0.575103806497333,0.03252509712653712,0.8129571862884408,Scotch (Speyside)
Alberta Premium Dark Horse,0.7136374920937487,0.5291665926010484,0.6761646066821867,Canadian Whisky
Amrut Cask Strength,0.47416169599397057,0.32842422536714244,0.2543173397348027,World
Amrut Fusion,0.2938107975884046,0.36646358272149737,0.5127142666992897,World
Amrut Intermediate Sherry,0.6204419014419998,0.1911970830337953,0.6851532756723212,World
Amrut Kadhambam,0.522555877580504,0.29351500311978046,0.4351415941671095,World
Amrut Peated Cask Strength,0.2548489982679677,0.47672805686912767,0.39938431982551664,World
Amrut Portonova,0.501915888069771,0.253402487324183,0.4374443853704913,World
Amrut Spectrum 004,0.5198214337663282,0.2252748814868076,0.8272606983501374,World
AnCnoc 12,0.4436618931514816,0.3172311801144323,0.02970071519145967,Scotch (Speyside)
AnCnoc 16,0.5019442194881495,0.29164799998986046,0.1677816490873244,Scotch (Speyside)
AnCnoc Flaughter,0.07472606828236944,0.5272620553259364,0.3549307028475961,Scotch (Speyside)
Angel's Envy Bourbon,0.573976032910681,0.3885850421326426,0.3350645707743811,Bourbon
Angel's Envy Cask Strength,0.5675754316760323,0.37124110078136513,0.4817864367376515,Bourbon
Angel's Envy Rye,0.7666104525531167,0.6731114295597023,0.573816080596492,Rye
Ardbeg 10,0.04943481600148403,0.5585364150140193,0.42373405238969286,Scotch (Islay)
Ardbeg Airigh Nam Beist 1990,0.03526775797571052,0.5524495329867843,0.44461361735152916,Scotch (Islay)
Ardbeg Alligator,0.19036820548492106,0.531362961729047,0.5038506648153904,Scotch (Islay)
Ardbeg An Oa,0.16680815621156375,0.46878902449587534,0.43039320011323945,Scotch (Islay)
Ardbeg Ardbog,0.15796378688955964,0.47394247989791044,0.6315282384888001,Scotch (Islay)
Ardbeg Auriverdes,0.17842820055852376,0.5126826898250766,0.46739458939842793,Scotch (Islay)
Ardbeg Corryvreckan,0.1275235240924063,0.5196473551241836,0.504301412443992,Scotch (Islay)
Ardbeg Dark Cove Committee Release,0.17375330867028782,0.271627003407118,0.9114350909840909,Scotch (Islay)
Ardbeg Day,0.14085417677480433,0.41176631342396963,0.6003332045037074,Scotch (Islay)
