whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
1792 Full Proof,18,80.89,4.78,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Port Finish,14,79.93,3.08,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Ridgemont Reserve,12,80.92,7.69,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Small Batch,10,76.2,4.26,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Sweet Wheat,15,78.0,9.1,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
Aberfeldy 12,30,76.9,6.1,Scotch (Highlands),Aberfeldy,Aberfeldy,Bacardi,56.62429,-3.850271,17
Aberfeldy 21,10,83.7,6.25,Scotch (Highlands),Aberfeldy,Aberfeldy,Bacardi,56.62429,-3.850271,17
Aberlour 10,32,78.97,7.08,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 12 Double Cask Matured,56,82.07,5.87,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 12 Non Chill Filtered,60,88.5,4.62,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 16,35,84.49,5.32,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 18,22,86.86,6.2,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #39,15,88.67,5.19,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #42,11,87.45,3.47,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #45,25,89.6,3.87,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #46,12,86.42,5.2,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #47,16,89.69,4.32,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Alberta Premium Dark Horse,25,84.24,7.98,Canadian Whisky,Alberta Premium,Alberta Premium,Beam Suntory,51.023004,-114.027073,17
Amrut Cask Strength,15,89.0,4.38,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Fusion,39,85.36,5.77,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Intermediate Sherry,18,85.11,7.02,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Kadhambam,17,86.06,4.92,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Peated Cask Strength,19,85.32,8.85,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Portonova,26,87.58,5.16,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Spectrum 004,10,89.05,2.89,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
AnCnoc 12,61,82.1,7.23,Scotch (Speyside),AnCnoc,Knockdhu,Inver House,57.563535,-2.758611,17
AnCnoc 16,20,86.9,4.1,Scotch (Speyside),AnCnoc,Knockdhu,Inver House,57.563535,-2.758611,17
AnCnoc Flaughter,10,78.9,18.75,Scotch (Speyside),AnCnoc,Knockdhu,Inver House,57.563535,-2.758611,17
Angel's Envy Bourbon,28,80.64,6.93,Bourbon,Angel's Envy,Angel's Envy,Bacardi,38.254737,-85.743699,17
Angel's Envy Cask Strength,13,88.08,9.27,Bourbon,Angel's Envy,Angel's Envy,Bacardi,38.254737,-85.743699,17
Angel's Envy Rye,23,83.04,8.7,Rye,Angel's Envy,Angel's Envy,Bacardi,38.254737,-85.743699,17
Ardbeg 10,166,86.04,6.38,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Airigh Nam Beist 1990,15,88.13,5.42,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Alligator,30,89.2,4.32,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg An Oa,14,82.64,5.96,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Ardbog,49,88.94,4.39,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Auriverdes,16,84.12,4.36,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Corryvreckan,95,89.38,4.97,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Dark Cove Committee Release,16,84.12,9.56,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Day,12,89.83,3.24,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Drum Committee Release,10,83.8,4.94,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Galileo,39,88.08,6.4,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Grooves Committee Release,9,82.67,7.89,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Perpetuum,13,82.46,6.33,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Supernova 2014,11,90.55,5.2,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Uigeadail,175,90.66,5.07,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardmore 12 Port Wood Finish,8,82.88,6.33,Scotch (Highlands),Ardmore,Ardmore,Beam Suntory,57.351193,-2.745273,17
Ardmore Legacy,9,73.44,7.88,Scotch (Highlands),Ardmore,Ardmore,Beam Suntory,57.351193,-2.745273,17
Ardmore Traditional Cask Peated,31,79.39,5.91,Scotch (Highlands),Ardmore,Ardmore,Beam Suntory,57.351193,-2.745273,17
Arran 10,40,81.9,7.19,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran 12 Cask Strength,18,85.39,4.95,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran 14,34,83.74,5.32,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran Amarone Cask Finish,21,83.52,4.63,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran Port Cask Finish,21,78.81,8.78,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran Sauternes Cask Finish,22,81.41,7.12,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
