whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Highland Park 12,Lagavulin 16,Highland Park 18,Ardbeg Uigeadail,Benromach 10,Talisker 10,Ardbeg 10,Laphroaig Quarter Cask,Laphroaig 10,Springbank 10,Caol Ila 12,Lagavulin 12,Bowmore 12,Laphroaig 18,Johnnie Walker Black Label,Ardbeg Corryvreckan,Ledaig 10,Springbank 15,Kilchoman Machir Bay,Oban 14,Ardmore Traditional Cask Peated,Johnnie Walker Green Label,Bunnahabhain 12,Longrow Peated,Ardbeg Ardbog,Highland Park Dark Origins,Laphroaig 10 Cask Strength,Jura Superstition,Bruichladdich Port Charlotte Scottish Barley,Lagavulin 8,Talisker 57° North,Highland Park 15,Amrut Fusion,Bowmore 18,Ardbeg Galileo,Compass Box Peat Monster,Highland Park 15 Loki,Laphroaig Triplewood,BenRiach 10 Curiositas,Bowmore 15 Darkest,Bruichladdich Octomore 6.1,Finlaggan Old Reserve,Bruichladdich The Laddie Ten,Bunnahabhain Toiteach,Talisker 18,Bruichladdich Port Charlotte 10,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Jura Prophecy,Balvenie 17 Peated Cask,Talisker 25,Ardbeg Airigh Nam Beist 1990,0.9039,0.8909,0.8822,0.87,0.8551,0.8549,0.8341,0.829,0.8278,0.8237,0.8021,0.8004,0.7973,0.7819,0.7805,0.7796,0.7782,0.7753,0.769,0.7664,0.7589,0.7514,0.747,0.7409,0.7352,0.7348,0.7327,0.7282,0.7259,0.7251,0.7243,0.722,0.7217,0.7208,0.7194,0.7171,0.7161,0.7159,0.7134,0.7117,0.7103,0.6966,0.6941,0.6878,0.6849,0.6767,0.6757,0.6664,0.6634,0.6509
Lagavulin 16,Ardbeg Uigeadail,Laphroaig Quarter Cask,Ardbeg 10,Laphroaig 10,Caol Ila 12,Talisker 10,Laphroaig 18,Ardbeg Corryvreckan,Lagavulin 12,Kilchoman Machir Bay,Highland Park 12,Bowmore 12,Laphroaig 10 Cask Strength,Ledaig 10,Ardbeg Ardbog,Bruichladdich Port Charlotte Scottish Barley,Bruichladdich Octomore 6.1,Lagavulin 8,Finlaggan Old Reserve,Laphroaig Triplewood,Talisker 57° North,Benromach 10,Compass Box Peat Monster,Ardbeg Galileo,Springbank 10,Ardmore Traditional Cask Peated,BenRiach 10 Curiositas,Longrow Peated,Bowmore 18,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Bunnahabhain Toiteach,Bowmore 15 Darkest,Springbank 15,Bruichladdich Port Charlotte 10,Laphroaig Cairdeas 2015,Ardbeg Airigh Nam Beist 1990,Highland Park 18,Balvenie 17 Peated Cask,Laphroaig Cairdeas 2013 Portwood,Jura Superstition,Laphroaig Cairdeas 2016 Madeira,Talisker 18,Talisker 25,Bunnahabhain 12,Jura Prophecy,Johnnie Walker Black Label,Laphroaig Cairdeas 2012 Origin,Johnnie Walker Green Label,Kilchoman Loch Gorm,Laphroaig 15,0.9992,0.994,0.9901,0.9757,0.9619,0.9562,0.9483,0.9163,0.9104,0.9045,0.9039,0.9024,0.8822,0.8719,0.8561,0.8545,0.8542,0.8488,0.8388,0.8387,0.8327,0.8284,0.8214,0.8101,0.809,0.8076,0.8056,0.8004,0.7967,0.7961,0.7908,0.7837,0.7694,0.7666,0.7608,0.7559,0.7541,0.7512,0.748,0.7438,0.7382,0.7343,0.7339,0.7288,0.727,0.7237,0.7216,0.7195,0.7168,0.7107
Ardbeg 10,Laphroaig Quarter Cask,Caol Ila 12,Lagavulin 16,Laphroaig 10,Talisker 10,Laphroaig 18,Ardbeg Uigeadail,Ardbeg Corryvreckan,Kilchoman Machir Bay,Ledaig 10,Lagavulin 12,Bruichladdich Octomore 6.1,Laphroaig 10 Cask Strength,Bruichladdich Port Charlotte Scottish Barley,Bowmore 12,Lagavulin 8,Highland Park 12,Compass Box Peat Monster,Talisker 57° North,Longrow Peated,Springbank 10,Ardbeg Ardbog,Ardbeg Galileo,Ardmore Traditional Cask Peated,Finlaggan Old Reserve,BenRiach 10 Curiositas,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Bruichladdich Port Charlotte 10,Laphroaig Cairdeas 2015,Bunnahabhain Toiteach,Laphroaig Triplewood,Ardbeg Airigh Nam Beist 1990,Benromach 10,Balvenie 17 Peated Cask,Bruichladdich The Laddie Ten,Bowmore 18,Ardbeg Perpetuum,Laphroaig Cairdeas 2013 Portwood,Springbank 15,Laphroaig 15,Talisker 18,Laphroaig Cairdeas 2016 Madeira,Laphroaig Cairdeas 2012 Origin,Bruichladdich Port Charlotte The Peat Project,Johnnie Walker Green Label,Jura Prophecy,Bruichladdich Octomore 4.2_167 Comus,Talisker 25,Jura Superstition,Bowmore 15 Darkest,0.9908,0.9902,0.9901,0.9675,0.9631,0.962,0.9592,0.9453,0.9289,0.9166,0.9067,0.897,0.8924,0.8777,0.8733,0.8649,0.8549,0.8522,0.8494,0.8456,0.8354,0.8318,0.8283,0.8262,0.824,0.823,0.8123,0.7893,0.7892,0.7838,0.7768,0.7731,0.7547,0.7479,0.7433,0.7433,0.7322,0.7314,0.727,0.7267,0.7232,0.7226,0.7218,0.7208,0.7178,0.7172,0.7156,0.7125,0.7103,0.7079
Ardbeg Uigeadail,Lagavulin 16,Ardbeg 10,Laphroaig Quarter Cask,Laphroaig 10,Ardbeg Corryvreckan,Talisker 10,Caol Ila 12,Laphroaig 18,Highland Park 12,Lagavulin 12,Laphroaig 10 Cask Strength,Kilchoman Machir Bay,Laphroaig Triplewood,Bruichladdich Octomore 6.1,Ardbeg Ardbog,Ledaig 10,Bowmore 12,Benromach 10,Bruichladdich Port Charlotte Scottish Barley,Talisker 57° North,Bowmore 15 Darkest,Lagavulin 8,Springbank 10,Springbank 15,Ardbeg Galileo,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Compass Box Peat Monster,Longrow Peated,Finlaggan Old Reserve,Highland Park 18,Kilchoman Loch Gorm,BenRiach 10 Curiositas,Bunnahabhain Toiteach,Ardmore Traditional Cask Peated,Laphroaig Cairdeas 2013 Portwood,Laphroaig Cairdeas 2015,Bunnahabhain 12,Bruichladdich Port Charlotte 10,Bowmore 18,Ardbeg Day,Ardbeg Airigh Nam Beist 1990,Talisker 18,Jura Superstition,Bowmore 15 Laimrig,Balvenie 17 Peated Cask,Kilchoman Sanaig,Laphroaig Cairdeas 2016 Madeira,Jura Prophecy,Kilchoman Sherry Cask Release,Laphroaig Cairdeas 2012 Origin,0.9992,0.9592,0.954,0.9229,0.9129,0.9037,0.8968,0.895,0.8822,0.8752,0.8666,0.8514,0.8449,0.8375,0.8374,0.8344,0.833,0.8292,0.8239,0.8118,0.8041,0.8014,0.7971,0.7962,0.7803,0.7746,0.7704,0.7684,0.7671,0.7616,0.7522,0.7515,0.7494,0.7469,0.744,0.7406,0.7398,0.7389,0.7294,0.7275,0.7231,0.7222,0.7211,0.7133,0.709,0.7004,0.6973,0.6924,0.6922,0.691
Laphroaig Quarter Cask,Laphroaig 10,Lagavulin 16,Ardbeg 10,Laphroaig 18,Ardbeg Uigeadail,Caol Ila 12,Ardbeg Corryvreckan,Talisker 10,Laphroaig 10 Cask Strength,Kilchoman Machir Bay,Lagavulin 12,Bruichladdich Octomore 6.1,Ledaig 10,Bowmore 12,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Ardbog,Highland Park 12,Laphroaig Triplewood,Lagavulin 8,Ardmore Traditional Cask Peated,Finlaggan Old Reserve,Talisker 57° North,Ardbeg Galileo,Compass Box Peat Monster,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,BenRiach 10 Curiositas,Springbank 10,Longrow Peated,Laphroaig Cairdeas 2015,Bunnahabhain Toiteach,Bruichladdich Port Charlotte 10,Balvenie 17 Peated Cask,Laphroaig Cairdeas 2013 Portwood,Ardbeg Airigh Nam Beist 1990,Bowmore 18,Laphroaig Cairdeas 2016 Madeira,Laphroaig Cairdeas 2012 Origin,Benromach 10,Laphroaig 15,Laphroaig An Cuan Mor,Talisker 25,Springbank 15,Bowmore 15 Darkest,Ardbeg Perpetuum,Jura Prophecy,Jura Superstition,Laphroaig Lore,Laphroaig Cairdeas 2014 Amontillado,Bruichladdich The Laddie Ten,Bruichladdich Octomore 4.2_167 Comus,1.0,0.994,0.9908,0.9674,0.954,0.9382,0.9344,0.9332,0.9153,0.8932,0.8931,0.8733,0.8699,0.8487,0.8477,0.8453,0.8341,0.8341,0.8299,0.8215,0.8199,0.8138,0.8129,0.8053,0.7995,0.799,0.7846,0.7786,0.7761,0.7517,0.7417,0.7405,0.739,0.7337,0.7325,0.731,0.7264,0.7263,0.715,0.7066,0.7017,0.6985,0.6974,0.6954,0.693,0.6912,0.6897,0.6896,0.6889,0.6868
Laphroaig 10,Laphroaig Quarter Cask,Lagavulin 16,Ardbeg 10,Laphroaig 18,Talisker 10,Ardbeg Uigeadail,Caol Ila 12,Ardbeg Corryvreckan,Laphroaig 10 Cask Strength,Lagavulin 12,Kilchoman Machir Bay,Ledaig 10,Bowmore 12,Ardbeg Ardbog,Highland Park 12,Bruichladdich Octomore 6.1,Lagavulin 8,Bruichladdich Port Charlotte Scottish Barley,Talisker 57° North,Laphroaig Cairdeas 2015,Finlaggan Old Reserve,Laphroaig Triplewood,Compass Box Peat Monster,Ardmore Traditional Cask Peated,Ardbeg Galileo,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Longrow Peated,Springbank 10,BenRiach 10 Curiositas,Bunnahabhain Toiteach,Laphroaig Cairdeas 2016 Madeira,Laphroaig Cairdeas 2013 Portwood,Benromach 10,Ardbeg Airigh Nam Beist 1990,Bruichladdich The Laddie Ten,Bruichladdich Port Charlotte 10,Talisker 25,Bowmore 18,Laphroaig 15,Laphroaig Cairdeas 2012 Origin,Johnnie Walker Green Label,Balvenie 17 Peated Cask,Laphroaig Lore,Black Bottle,Jura Prophecy,Jura Superstition,Johnnie Walker Black Label,Bowmore 15 Darkest,Springbank 15,Talisker 18,1.0,0.9757,0.9675,0.9369,0.9333,0.9229,0.9228,0.891,0.8879,0.8769,0.8724,0.8637,0.8342,0.8328,0.829,0.8204,0.8085,0.806,0.8038,0.7995,0.7976,0.7942,0.7715,0.7631,0.7572,0.7476,0.7474,0.7433,0.7413,0.7174,0.7168,0.715,0.709,0.7054,0.6934,0.6926,0.6906,0.6905,0.6901,0.69,0.6899,0.6885,0.6829,0.6808,0.6766,0.6763,0.6736,0.6724,0.6721,0.671
Talisker 10,Ardbeg 10,Lagavulin 16,Caol Ila 12,Laphroaig 10,Laphroaig Quarter Cask,Laphroaig 18,Ardbeg Uigeadail,Talisker 57° North,Ardbeg Corryvreckan,Ledaig 10,Highland Park 12,Kilchoman Machir Bay,Bowmore 12,Lagavulin 12,Laphroaig 10 Cask Strength,Bruichladdich Port Charlotte Scottish Barley,Bruichladdich Octomore 6.1,Lagavulin 8,Springbank 10,Ardbeg Ardbog,Talisker 18,Talisker Storm,Compass Box Peat Monster,Longrow Peated,Finlaggan Old Reserve,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardbeg Galileo,Oban 14,Bruichladdich The Laddie Ten,Benromach 10,Bunnahabhain Toiteach,Ardmore Traditional Cask Peated,Johnnie Walker Green Label,Laphroaig Cairdeas 2015,Talisker 25,Highland Park 18,Ardbeg Airigh Nam Beist 1990,Bowmore 18,Bruichladdich Port Charlotte 10,Springbank 15,Laphroaig Triplewood,Laphroaig Cairdeas 2016 Madeira,Laphroaig 15,Laphroaig Cairdeas 2012 Origin,BenRiach 10 Curiositas,Johnnie Walker Black Label,Laphroaig Cairdeas 2013 Portwood,Jura Prophecy,Bunnahabhain 12,Ardbeg Perpetuum,0.9631,0.9562,0.9398,0.9333,0.9332,0.9121,0.9037,0.8999,0.8712,0.8586,0.8551,0.8489,0.8485,0.8455,0.8433,0.8123,0.8115,0.8101,0.8096,0.8016,0.795,0.7889,0.7872,0.7781,0.7696,0.767,0.7597,0.7568,0.7523,0.752,0.7497,0.7423,0.7376,0.7312,0.7312,0.7268,0.7238,0.7227,0.7194,0.7189,0.7148,0.7105,0.705,0.7024,0.7,0.6943,0.6917,0.6911,0.6853,0.6831
Glenlivet 12,Glenfiddich 12,Glenmorangie 10 Original,Dalwhinnie 15,Glenlivet 16 Nadurra,AnCnoc 12,Monkey Shoulder,Balvenie 12 Doublewood,Speyburn 10,Chivas Regal 12,Macallan 10 Fine Oak,Oban 14,Arran 10,Cragganmore 12,Glenfiddich 15,Glenkinchie 12,Glenfiddich 18,Johnnie Walker Black Label,Glenlivet 18,Glenlivet 15 French Oak Reserve,Cardhu 12,Johnnie Walker Green Label,Clynelish 14,Tobermory 10,Old Pulteney 12,Balvenie 15 Single Barrel,Glenmorangie Astar,Aberfeldy 12,Highland Park 12,Auchentoshan 12,Arran 14,Balvenie 12 Single Barrel First Fill,Tomatin 12,Singleton of Glendullan 12,Bruichladdich The Laddie Ten,Deanston 12,Auchentoshan Valinch,Johnnie Walker Blue Label,Aberlour 10,BenRiach 12,Deanston Virgin Oak,Royal Lochnagar 12,Glenfarclas 12,Compass Box Great King St. Artist's Blend,Johnnie Walker Gold Label,Dewar's White Label,Johnnie Walker Red Label,Macallan 12 Sherry,Glengoyne 10,Craigellachie 13,AnCnoc 16,0.7702,0.7036,0.6106,0.5969,0.5869,0.5495,0.539,0.5371,0.5344,0.5305,0.5255,0.5226,0.5124,0.5103,0.5099,0.5044,0.4951,0.4945,0.4821,0.4735,0.4705,0.4591,0.4554,0.4492,0.4476,0.4463,0.4401,0.4377,0.4327,0.4317,0.4285,0.4222,0.4106,0.4075,0.4001,0.3988,0.3975,0.393,0.3923,0.3922,0.3917,0.3902,0.3858,0.3857,0.38,0.3794,0.3782,0.3753,0.3731,0.3705
Glenfiddich 12,Glenlivet 12,Glenmorangie 10 Original,Glenlivet 16 Nadurra,Dalwhinnie 15,Glenfiddich 15,Glenfiddich 18,Monkey Shoulder,Balvenie 12 Doublewood,AnCnoc 12,Glenlivet 18,Cragganmore 12,Macallan 10 Fine Oak,Oban 14,Arran 10,Speyburn 10,Chivas Regal 12,Glenkinchie 12,Cardhu 12,Tomatin 12,Glenlivet 15 French Oak Reserve,Singleton of Glendullan 12,Johnnie Walker Green Label,Arran 14,Tobermory 10,Clynelish 14,BenRiach 12,Aberfeldy 12,Craigellachie 13,Johnnie Walker Black Label,Balvenie 15 Single Barrel,Glenfarclas 12,Highland Park 12,Old Pulteney 12,Aberlour 10,Glengoyne 10,Deanston 12,Balvenie 12 Single Barrel First Fill,Auchentoshan 12,Auchentoshan Valinch,Glen Garioch Founder's Reserve,Glenmorangie Astar,Compass Box Enlightenment,Bunnahabhain 12,Springbank 10,Bruichladdich The Laddie Ten,Glenmorangie 18,Compass Box Oak Cross,Famous Grouse,Aberlour 12 Double Cask Matured,Jameson,0.7702,0.5908,0.5712,0.5537,0.5406,0.5381,0.536,0.5359,0.5339,0.5123,0.5068,0.5037,0.5031,0.4981,0.4779,0.4699,0.4619,0.4595,0.4534,0.453,0.4453,0.4386,0.4385,0.4334,0.433,0.4255,0.4189,0.4175,0.4171,0.4152,0.4106,0.3943,0.3941,0.3851,0.381,0.3789,0.3763,0.3761,0.3725,0.3706,0.3699,0.3658,0.3631,0.3615,0.3603,0.3596,0.3579,0.3577,0.3522,0.3502
Balvenie 12 Doublewood,Macallan 12 Sherry,Glenmorangie Lasanta,Glenfarclas 12,Aberlour 12 Double Cask Matured,GlenDronach 12 Original,Macallan Sherry Cask Strength,Aberlour 12 Non Chill Filtered,Glenfiddich 15,Glenfarclas 105 Cask Strength,Aberlour 10,GlenDronach 15 Revival,Tomatin 12,Glenfarclas 17,Aberlour 16,Dalmore 12,Glenfiddich 18,Glenlivet 18,Auchentoshan Three Wood,Bunnahabhain 12,Aberlour A'bunadh batch #45,Macallan 15 Fine Oak,BenRiach 12 Sherry Matured,Glengoyne 21,Macallan 18 Sherry,GlenDronach 21 Parliament,Glenfarclas 25,Aberlour A'bunadh batch #47,Aberlour 18,Bunnahabhain 18,Balvenie 17 Doublewood,Glenfarclas 15,Glenlivet 12,Balvenie Tun 1401 Batch #3,Dalmore 15,Glenfiddich 12,Macallan 10 Fine Oak,Macallan Edition No. 2,Glenfarclas 40,Glenmorangie 10 Original,Benromach 10,Kavalan Solist Sherry,Bruichladdich Black Art 2.2,Balvenie 15 Single Barrel Sherry Cask,Glenfarclas 10,Glenmorangie 18,Benrinnes 23,Highland Park 12,Aberlour A'bunadh batch #46,Macallan 12 Double Cask,Glenlivet 16 Nadurra,0.789,0.7168,0.7112,0.7092,0.7048,0.6986,0.6925,0.6817,0.6723,0.6698,0.6693,0.6464,0.6418,0.6269,0.6259,0.6095,0.6093,0.6038,0.5984,0.596,0.5781,0.5768,0.5758,0.5642,0.5593,0.5583,0.5583,0.5547,0.5504,0.5503,0.544,0.539,0.5369,0.5361,0.5359,0.532,0.5278,0.5246,0.5239,0.5196,0.5123,0.5112,0.5063,0.5035,0.4976,0.4964,0.4942,0.4856,0.4804,0.4754
