whiskey,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50,TF_Similarity_51,TF_Similarity_52,TF_Similarity_53,TF_Similarity_54,TF_Similarity_55,TF_Similarity_56,TF_Similarity_57,TF_Similarity_58,TF_Similarity_59,TF_Similarity_60,TF_Similarity_61,TF_Similarity_62,TF_Similarity_63,TF_Similarity_64,TF_Similarity_65,TF_Similarity_66,TF_Similarity_67,TF_Similarity_68,TF_Similarity_69,TF_Similarity_70,TF_Similarity_71,TF_Similarity_72,TF_Similarity_73,TF_Similarity_74,TF_Similarity_75,TF_Similarity_76,TF_Similarity_77,TF_Similarity_78,TF_Similarity_79,TF_Similarity_80,TF_Similarity_81,TF_Similarity_82,TF_Similarity_83,TF_Similarity_84,TF_Similarity_85,TF_Similarity_86,TF_Similarity_87,TF_Similarity_88,TF_Similarity_89,TF_Similarity_90,TF_Similarity_91,TF_Similarity_92,TF_Similarity_93,TF_Similarity_94,TF_Similarity_95,TF_Similarity_96,TF_Similarity_97,TF_Similarity_98,TF_Similarity_99,TF_Similarity_100
Highland Park 12,0.8300930962972625,0.8200186565490661,0.8131692808092762,0.8036608145280241,0.7920864380954807,0.7918732467202004,0.7757176120439825,0.771688130501953,0.7707509479503553,0.7675876908136915,0.7507623001625532,0.7494201454930338,0.747005350241043,0.7350052081799836,0.7338991839675784,0.7331665877423976,0.7320952375327993,0.7298108723708727,0.7248801907148469,0.722909863749042,0.717036247708791,0.7112002428659938,0.7077771395571998,0.7030150814014603,0.6985543575767706,0.6982301760670656,0.6965938083841962,0.6931164661590248,0.6912889008558549,0.6906593712957368,0.6900184758173269,0.6882643804667286,0.6880267511546757,0.687335110606342,0.686203970788876,0.6844322746467241,0.6836216494848694,0.6835020793994325,0.6815153291527609,0.6802318279896084,0.6791113069543246,0.6684283098013963,0.6664918692373822,0.6615608109067234,0.6592848636316936,0.6529183012861839,0.6521045526342275,0.6448564319226433,0.642584325235892,0.6327812638523714,0.6296387086049113,0.6218466395803898,0.6212188483685243,0.6189510895107104,0.6154720604529016,0.6130640772776572,0.6115330637583205,0.6102340785614915,0.6089183152451686,0.6088516187449136,0.6062213355113356,0.6054403440173053,0.6039808371299656,0.6039363998624381,0.6037792531448164,0.6005730489470033,0.6004063660705868,0.5983057140414072,0.5936878057429928,0.5932832234565684,0.5927764859662705,0.5918383002795112,0.5916887312910347,0.5916670100620183,0.5908721083345106,0.5908415353644362,0.5908346601690831,0.5889633618446306,0.5882286303476673,0.5856506841060728,0.5834541371121044,0.5820163356698375,0.5805065182293673,0.576355056244539,0.575464285453908,0.572683844761792,0.5699814920912971,0.5698834051069515,0.5694065623859305,0.5687478254695781,0.5653357881112355,0.5610631264582002,0.5602356936051461,0.5597320132235543,0.5573410002924465,0.550665287538666,0.5486227959952352,0.5468839911153596,0.5465338659196397,0.5455160418684679
Lagavulin 16,0.9044736042384642,0.9003934655840216,0.8973354807335031,0.8861116076219868,0.8753316828999947,0.8709041380361715,0.86472204009073,0.8397939368977219,0.8352230464169436,0.8305903306546819,0.8300930962972625,0.8289248455728933,0.8132201729950684,0.8051691378775933,0.7928757037040542,0.7916125679231275,0.7913237456532543,0.7871859238351873,0.7793647074381551,0.7792383747591279,0.7745764744179998,0.7712745192263382,0.7657813392759757,0.7569427809400313,0.7560920463771827,0.7549965505033527,0.753470160414245,0.7493749513536294,0.7465278667908858,0.7460390586631235,0.7418742542327521,0.7363591882351358,0.7252154024212405,0.7230704816786003,0.7185433207452485,0.7147222244746168,0.7133147436575598,0.7110385314254055,0.7085137984287134,0.7052691758378403,0.7008742714835933,0.6978803845266616,0.6975550195062292,0.6935502760954918,0.692189132672952,0.6895580928625774,0.6879329534387382,0.6862783948092858,0.6841664063935486,0.6794200063447422,0.6760032665812599,0.674178281450257,0.6728224079967525,0.6722838044363683,0.6707616706865939,0.6677907667250806,0.6676822530136609,0.6676125840415252,0.666017815031676,0.6614914689681077,0.6602652777587944,0.6562040799922669,0.6555050381821871,0.6522080537511808,0.6513513066349663,0.6492362567962716,0.6468126665147717,0.6466777459035926,0.6458119883982114,0.6454610888832368,0.6438490699940951,0.6430514611743446,0.6389267591007634,0.6353320199440352,0.6349151776325432,0.6325920119127164,0.6303298454003142,0.6300879567943806,0.6292523335108945,0.6207316552702671,0.6181978666196098,0.6118658001724109,0.6117105317518483,0.6105947510498466,0.607060506860314,0.6049303122883423,0.5998556056305996,0.5941819062816978,0.5935813538072526,0.5909162039874549,0.5905987580365336,0.5891248292996059,0.5865519588240903,0.5857384232247594,0.5854396435909289,0.5852067160849144,0.582719900585746,0.5808261921709408,0.5703219216557176,0.5691220968003387
Ardbeg 10,0.8979034634205183,0.8974662247052488,0.8973354807335031,0.8797094998484903,0.876299883565776,0.8754075604403369,0.8732422187122195,0.8624486356021172,0.8495857510424089,0.840025883920807,0.8322946696222321,0.8247388650232926,0.82115266468425,0.8097180333520488,0.8062477750209466,0.7997043209436239,0.7918732467202004,0.7897870660114634,0.7876543968899313,0.7846233408879981,0.7766738074507236,0.7738862343244547,0.7711215891249394,0.7694830526339764,0.7677943409726737,0.7670380139649934,0.7586787683695163,0.740759090381822,0.7406274482609466,0.736446110237606,0.7310061028038718,0.7281307090326465,0.7137178435470926,0.7084192815840912,0.7048782636345615,0.7048301895941629,0.6961923895862104,0.6955764867486084,0.6921789170458219,0.6919198937123673,0.6892235049887306,0.6887354607711796,0.6880791803951147,0.6872783727116767,0.6849574582383086,0.684529635087824,0.6832469746273027,0.6808710687052921,0.679143253766838,0.677236583485081,0.6696453761508998,0.6693398913478167,0.6671255372909349,0.6636688413735623,0.6600998487113585,0.6585056422545554,0.6568801549189991,0.6561243463927955,0.6543937417137357,0.6542284486930519,0.6541385500358752,0.6540708234149015,0.6539984258669411,0.6509431892765211,0.6500176427783775,0.6494009221177227,0.6464524000943699,0.6463520772380573,0.6450469989001323,0.6415094585569036,0.6332753180057775,0.63311242327718,0.632792627448142,0.6310224076895121,0.6297690497527941,0.6245555684487636,0.6242084142390697,0.6225443273419569,0.6160377528937317,0.6140368312757357,0.611094712845721,0.6055831406211104,0.6055150850915606,0.6027894933315288,0.5993428575866432,0.5963659183062158,0.5891868561647228,0.5886773332822602,0.5877134183840869,0.5838932639799385,0.5819229661954398,0.5815721043232159,0.5810811900785646,0.5774047208281666,0.5740784370009282,0.5734525477185196,0.573225875141478,0.5712958885660241,0.5689948464620889,0.5665581691357198
Ardbeg Uigeadail,0.9044736042384642,0.8732422187122195,0.8691900867437973,0.8449350419400834,0.8371194031535014,0.8299347899054966,0.8245981959826603,0.8231675644917551,0.8131692808092762,0.8077250338341896,0.8009986406686318,0.7891460154387959,0.7841264690729309,0.7783429056559027,0.7782705207214788,0.7759539414426001,0.7748170766912801,0.771895144841407,0.7676900150351066,0.7582960002153901,0.7522831189122436,0.7502038500489885,0.7468306951202539,0.7461148086662446,0.733753740737871,0.7292951103544862,0.7259958540147118,0.7244084016086002,0.7234119028746777,0.7191091480101176,0.7117960687567303,0.7112405823006618,0.7096356879621841,0.7076672354341275,0.705429993155741,0.7027913655771797,0.7021227257028918,0.7014686252767552,0.6940228342522712,0.6925291357604453,0.6890709461338832,0.6883919766019234,0.6875532140569235,0.68143310177668,0.6780757177672273,0.6713868028483015,0.6689808021122676,0.6651578230299076,0.6650220785407749,0.6640824027647028,0.6639058694968704,0.6619692895921517,0.6616800439641647,0.6578039123388111,0.6565005210410351,0.653142702802182,0.6521618052304651,0.6501194494753711,0.6493606732355163,0.6491215157720562,0.6490002527736384,0.6484070516697121,0.6460044313734802,0.6459021570590218,0.6413037107644717,0.6403179612841874,0.6356323059627186,0.6338958531910047,0.6333935918655647,0.631419279539831,0.6303112798214443,0.6298875422559647,0.6265978408395767,0.6230987303653511,0.6222268049112204,0.6180185743557741,0.6170211613857127,0.6143758745863841,0.6122771098794492,0.6111086065129495,0.6095142790219835,0.6088213797612483,0.6072648857428099,0.6058348850085905,0.6053809301500195,0.6049241357240349,0.6024035856467843,0.600886787948065,0.5968662596171997,0.5962776031575164,0.5954033394456423,0.5908416386902606,0.5880124846865621,0.5835188757472458,0.5787010998566408,0.5760812958457072,0.5736083546103399,0.5706979892046381,0.5697702871492231,0.5659857908205342
Laphroaig Quarter Cask,0.9050735511773411,0.9003934655840216,0.8979034634205183,0.8796438540971967,0.8691900867437973,0.8568381243141623,0.8539249349661061,0.8529986186288583,0.8390376025762061,0.8217790841809695,0.821673949500551,0.8062397004312286,0.8035772337584979,0.78706000589921,0.7863053838456374,0.7844487628064709,0.7757176120439825,0.7756997224639435,0.7723715312748541,0.7658868581278471,0.7645707180990162,0.7598423098293208,0.7591195057161685,0.75318865456837,0.748708828746482,0.7483444059760463,0.7370763575716286,0.7323683171507708,0.7304570112438669,0.711430717275038,0.7035886151300605,0.70271191870616,0.7015207072278659,0.6973431379099491,0.6964344303761401,0.6952841993056493,0.6916582374180494,0.6915688099590948,0.6827604132847105,0.6762099552371271,0.6724116159395525,0.6699551852799722,0.6690406846880956,0.6675000076453512,0.6656026123940486,0.6641954697503775,0.6630382576280203,0.662971551807248,0.6624046760762011,0.6607821291016387,0.6607188856650638,0.6598276005670467,0.6590498647872699,0.6585057811861074,0.6573676997763466,0.6567079603542798,0.6526325071417058,0.650358717193605,0.6492932409858224,0.6476047730243766,0.6461590051714656,0.6454854533665515,0.6423740215903189,0.6418077460785288,0.6417998390741528,0.6380914319778471,0.6366150255407754,0.6346740259052409,0.6315937736086116,0.6314101986097092,0.6281326511423222,0.6273306786411633,0.6228936137957903,0.6125295533795966,0.6102408926893037,0.6087907471566776,0.6054108189408055,0.6048556355429758,0.6045576673179914,0.6013821314222183,0.5988896923861103,0.5938352535095379,0.5914335825441995,0.591118405746792,0.5880515127527379,0.5846470416699576,0.5823426184415862,0.5812527636992116,0.5770055023788997,0.5761809459001661,0.568892912729455,0.5651889855429573,0.5648922395026518,0.5609762015843076,0.5584585888423842,0.5559956026383454,0.5535659306722625,0.5518237985171646,0.5516247787102821,0.5501038021409783
Laphroaig 10,0.9050735511773411,0.8861116076219868,0.8797094998484903,0.8558254029319402,0.853065942111279,0.8449350419400834,0.8448454694899846,0.8200514595300793,0.8176765734255863,0.8090292554906112,0.8055250218472625,0.7987462870081988,0.775762026079985,0.774679713738169,0.771688130501953,0.7649956970976302,0.7557524997214045,0.7537934208166388,0.7520158355743006,0.7486925797288213,0.7472463634401453,0.7445525752381711,0.7268792395007382,0.72027713903064,0.715741449565364,0.7081943500559124,0.708026599778412,0.7048846459825026,0.7032896442919463,0.6846578162342287,0.6842246044637995,0.6827836275043567,0.6781495489304746,0.6753074362861884,0.6659368978130273,0.6653587497489413,0.6637769444970254,0.6636607795863062,0.6633454800075318,0.6632807826780055,0.6632157579749436,0.6621537065581116,0.6577772101152427,0.6561512380155549,0.6528557655219329,0.6526466716035999,0.6504903383906578,0.6495510787675597,0.6493605873227107,0.6484652148672242,0.647158287676865,0.6449142066328515,0.6448890847272576,0.6433821299024283,0.6429213704943283,0.6426767118490481,0.6426242169369,0.6352455018653779,0.6328142892010757,0.6295265238705579,0.6294786219186037,0.6249275332767303,0.614771707476766,0.6142462350811081,0.6141157406247354,0.6127126707518018,0.6124582108470294,0.6121348646562933,0.6088338002850556,0.6079349113345903,0.6055690182276134,0.6035974716489417,0.6008200044455871,0.5969423293212266,0.5896884410732762,0.5892507038159253,0.5887014261686805,0.5869286117561785,0.5787254707613368,0.578506081415459,0.5770302508845077,0.5733313677195057,0.5732591224492285,0.5717994459768685,0.5680099791070675,0.5662163132244205,0.5615202152957329,0.5544839187274573,0.5518241352471237,0.5507421112678055,0.54879396008495,0.5447873612901485,0.5438499827750223,0.5425734826443572,0.5424191938830383,0.5415832595005703,0.5392722535785508,0.5381067022736455,0.5366193431852592,0.5346292211725585
Talisker 10,0.876299883565776,0.8709041380361715,0.8581030693735039,0.853065942111279,0.8529986186288583,0.8365541923498794,0.8299347899054966,0.827003010690421,0.804597240910404,0.7947573294009718,0.7920864380954807,0.7872018256757061,0.7868810226506503,0.7845692652914882,0.7828565194734751,0.7586637094487927,0.7580683798629456,0.7569404914687538,0.7565436798366186,0.7503180839693352,0.7451704790572159,0.7404545619277015,0.7390739776786097,0.7319776952514016,0.7253951092838875,0.7233129833974528,0.7176455508298389,0.7154227805973825,0.7118515460947981,0.7116121984519584,0.709856528708628,0.7041192849131811,0.7004152449713873,0.6954548612202441,0.6954534322777494,0.6920016194121408,0.6896604283529609,0.6888329175687299,0.6862049474203445,0.6858645149719892,0.682620277323306,0.679267605473113,0.6749912323167029,0.6729713733479578,0.6710543687283876,0.66667970715053,0.6646388882741178,0.6641457563971255,0.659663567530029,0.6578872457329713,0.6545007613561076,0.6432859908654069,0.641457725660762,0.6411870590656757,0.634877244341117,0.6343265310689755,0.6285833821742343,0.6271466720846045,0.6229548042271544,0.6222848132535875,0.6219904920167031,0.619530955488946,0.6148561017150811,0.6136591385718989,0.6118744890611253,0.6110489440892714,0.6099289321635486,0.6085892853528572,0.6081083182810582,0.6078864961633659,0.6062630044417409,0.6032078368649546,0.6022542879084096,0.6007636713916733,0.5992144986765715,0.5985438179084233,0.5954134817468388,0.5950872960630372,0.5949356829960216,0.5896567429463541,0.5888133431190878,0.5882499309030416,0.5846087775526069,0.5842342923322202,0.5797457432657925,0.5784855745743491,0.5736356623432889,0.5726381244350126,0.567549351633552,0.5659274460443285,0.5645933731040219,0.5640320812101773,0.5630775802400672,0.5623618937775992,0.5584688496840113,0.5579997521153304,0.5548385951279471,0.5521374150372667,0.550540868855685,0.5397510892525664
Glenlivet 12,0.7258354031724302,0.6739180209005962,0.601365653047727,0.5906642760102684,0.5828837759743254,0.5537248283169598,0.5455483788170629,0.5440559556172662,0.5419015544928032,0.5389111707185397,0.5349662123102626,0.5327368580126945,0.524785322419276,0.5231221992222419,0.5227915108458177,0.518504745781892,0.5112874419763361,0.5107984140435854,0.5011535271442402,0.49440245577787345,0.49212809278777164,0.48322878805254804,0.4803269724636507,0.47545221870918697,0.47422765359558905,0.4732084160639848,0.4683665785769896,0.4665545628242188,0.46265470641922224,0.46185226657364364,0.4593635859588191,0.45443237677041753,0.4453760820632988,0.44294541231272283,0.43717980905843556,0.43616294685310175,0.4351839211757364,0.4316262465576179,0.43108411706509436,0.43100688280586397,0.4306782498502896,0.429443473163425,0.426012852678431,0.42595968803469064,0.42153474234374944,0.4210745062422312,0.42008434363725056,0.41788670628815217,0.41614480221114714,0.4141283942871647,0.4136801938288224,0.4057254675900848,0.4056848843886583,0.40285788928084215,0.4015008213162311,0.40133276072380775,0.4004540313946703,0.39843756551634824,0.3937208628090048,0.393069447789326,0.3925461469050473,0.3911458369990686,0.39023169627782495,0.3897976643578401,0.3887905959692956,0.38572345316779183,0.3812900232713675,0.38030266372455146,0.37629745452208324,0.37605284578696047,0.3746265859736147,0.37424911363590735,0.3742117178068041,0.3722379197398434,0.3711043602778693,0.37094616548523074,0.3704286202917528,0.36898879845098365,0.3689725661277683,0.36884911386440217,0.364906379843165,0.3634219952333805,0.3617986299913747,0.358447686155041,0.3580601804574514,0.35705424955426085,0.35685851428158405,0.35646015205425696,0.3562876321382011,0.3562570326714925,0.3559629679036023,0.3555908985819294,0.3548559402664476,0.3533414366887025,0.3514816553934616,0.3506588019737596,0.3501742754895109,0.3498968441868539,0.34925037970004347,0.3487787515747215
Glenfiddich 12,0.7258354031724302,0.5859125810468109,0.5706114225951598,0.5570216456893857,0.5467967111160792,0.5448108433598174,0.543216306327022,0.5431201629829389,0.5415489244374372,0.5246960104752431,0.5204272079005348,0.5179945480972608,0.5175366640690733,0.5136344562770724,0.49783871133966257,0.4915994523840416,0.4854215259330712,0.4835019414883275,0.4787458609741741,0.47841587735935565,0.47241685136593536,0.46718475875858967,0.467159824000031,0.4631817274718369,0.4628869537936103,0.45697935517195104,0.4518193763098195,0.4507504371307996,0.45045945862725,0.4489953386558101,0.44537646736218944,0.432692023043243,0.43248494587930153,0.42550580186513565,0.4222658861194865,0.42062567448852034,0.41864151877818134,0.41849427227747715,0.4156899008608727,0.4141706458092063,0.41365039193345804,0.4104645035303052,0.4083465701234895,0.4070964620513596,0.4061571898918041,0.4055780502974174,0.40424876830890855,0.4040845564367545,0.39986772301024054,0.3982512413154752,0.39817489258614625,0.39740803273154063,0.3961601884524433,0.3958476978607917,0.393222901856357,0.39253702520789874,0.39170417071408226,0.3884822351693008,0.38799166601121826,0.38485874894017,0.3839574425594028,0.3833081350975235,0.38314524572625985,0.38290746746695387,0.3824364528419626,0.38173160264406586,0.38162091627951494,0.3807515415737005,0.3794436087325464,0.37926365505646836,0.3755016800739441,0.3731067795783666,0.37227136454696114,0.3722440844009763,0.37199304929251786,0.3711872270044719,0.3697509600840641,0.3686741459164365,0.3655566642556784,0.3643375795769341,0.36414412875818497,0.36397686775824584,0.3634827679693141,0.36258605703964125,0.36257521788166996,0.36180795888983297,0.36111628249877464,0.3592043895957353,0.35919027024640293,0.35527327826231275,0.3551719814693827,0.35465803424749276,0.35399548191095015,0.3535818206214871,0.3524432279156801,0.3523086244068799,0.3518326063702635,0.3507656928285186,0.35003344723089247,0.34975122452705737
Balvenie 12 Doublewood,0.7405141065500848,0.6841790338819265,0.679861442013029,0.6782610578331298,0.6748205650929723,0.6700058504759815,0.6652640823144199,0.6568333030356602,0.6494664040305913,0.6475614906871655,0.6471124989261932,0.6292935134532973,0.6257112521807981,0.6140536960491552,0.6132805697372217,0.600491984801419,0.6003513371453489,0.5960903106371235,0.5918433018110913,0.5899684747045566,0.5760002018703774,0.5749960476683624,0.5742399768869182,0.5651791129867715,0.5613506467693904,0.5606030944068325,0.5605411543856883,0.5577453195630531,0.5543796615724137,0.5543534052030605,0.5493913258433116,0.5455483788170629,0.5438968254164133,0.5432888261950924,0.5431201629829389,0.5400450528941115,0.5367817016822877,0.5343069054769284,0.5337330541820804,0.5303854728373364,0.5247177798483643,0.5238660411996268,0.5200228445916919,0.517810025494216,0.5132661004003177,0.5122735231762207,0.5105584870694114,0.5039023547241299,0.49980429015531574,0.49593455562875044,0.4939786335389227,0.4897642815247921,0.48656801527648685,0.48453101175206964,0.48352935694126165,0.4818597189100976,0.48022543469790335,0.4777720828641338,0.4776414468076731,0.4768437012103345,0.4766840295246908,0.4761640669487589,0.47407521864388347,0.47249338842457067,0.47189752477669317,0.4711356582052441,0.46925246408018356,0.46661920184489025,0.4649128570291125,0.462733107331794,0.46167912424331375,0.46059532747071097,0.4605676116224781,0.45939354218589007,0.4538038270523066,0.4498862223481605,0.4498338350588626,0.4496244607829979,0.4492932139786543,0.4480691868434394,0.44725106452558366,0.4464741457381069,0.4461315203486848,0.44598413466898545,0.44540645096550446,0.4453720661647508,0.4427286504203253,0.4407396726884988,0.4391526726423708,0.4364880139653678,0.43328752541586063,0.43149347535506416,0.4260918207350224,0.42607525521987166,0.42571178288211287,0.4245994521766193,0.4233407486654337,0.422397913363242,0.4220056463888914,0.42180362953167766
